Время (UTC);Инициатор;Событие;Код;Объект;Детали
2026-06-12T07:30:11.336454+00:00;Spartak1210;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 2}}"
2026-06-12T07:29:16.485557+00:00;Spartak1210;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 1, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 1}}"
2026-06-12T06:28:15.984644+00:00;Валерич;Изменён прогноз;prediction_updated;7b5944fe-c8f5-489d-b269-83436d0a6e5a;"{""away"": 0, ""home"": 1, ""match"": ""Brazil — Morocco"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 0}}"
2026-06-12T06:28:11.594121+00:00;Валерич;Изменён прогноз;prediction_updated;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 1, ""home"": 3, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 2}}"
2026-06-12T06:28:08.780089+00:00;Валерич;Изменён прогноз;prediction_updated;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 1, ""home"": 2, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 3, ""home"": 1}}"
2026-06-12T05:57:22.370463+00:00;Валерич;Изменён прогноз;prediction_updated;d3feaba4-dec6-4658-a1b0-c67242ab07cc;"{""away"": 3, ""home"": 1, ""match"": ""USA — Paraguay"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 2, ""home"": 1}}"
2026-06-12T05:57:05.488717+00:00;Валерич;Изменён прогноз;prediction_updated;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 0, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 0, ""home"": 1}}"
2026-06-12T05:08:31.218150+00:00;Federico;Сделан прогноз;prediction_set;4912a102-ec52-4ad9-b7f7-a102c09dd410;"{""away"": 0, ""home"": 2, ""match"": ""Canada — Bosnia & Herzegovina"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
2026-06-12T03:59:22.407988+00:00;система;Добавлен счёт;match_result_set;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 2, ""match"": ""South Korea — Czech Republic""}"
2026-06-12T03:59:22.407988+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-12T03:39:22.415795+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-12T03:29:22.571785+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-12T03:19:22.404102+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-12T02:04:22.415285+00:00;система;Синхронизация с API;api_sync;;"{""auto"": true, ""created"": 0, ""updated"": 1, ""rescored"": 0}"
2026-06-12T00:18:35.635290+00:00;Paul;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 0, ""home"": 0, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 1}}"
2026-06-12T00:18:25.152039+00:00;Paul;Изменён прогноз;prediction_updated;55cc8d6e-b031-464c-9166-ccc388601ad0;"{""away"": 1, ""home"": 1, ""match"": ""South Korea — Czech Republic"", ""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2"", ""previous"": {""away"": 1, ""home"": 0}}"
2026-06-12T00:18:03.930767+00:00;Paul;Удалён участник;member_removed;ee14d4cf-8fda-49ab-81cf-b23eee8c70d7;"{""room_id"": ""ecbfa22b-bcb2-4d63-a68d-8792b15a1df2""}"
